country,fsysbank,startyear,endyear,hascurr,hassovdebt,hassovdebtres,hasinfl,yloss,fcost_v1,fcost_v2,fcost_v3,maxnpl,gsdebt,lvsource,rrsource
Slovak Republic,1,1998,2002,0,0,0,,0,,,,35,15.39939,1,0
Vietnam,1,1997,1997,0,0,1,,0,10,10,54.25935745239258,35,-52.7,1,0
Slovenia,1,1992,1992,0,0,0,,,14.6,,38.12010574,3.600000000000001,,1,0
Slovenia,2,2008,2012,0,0,0,,39.139748,9.92,8.399999999999999,8.017699241638184,17.97,20.91642602509363,1,0
South Africa,0,,,,,,,,,,,,,1,1
Zimbabwe,1,1995,1999,1,0,0,1,10.387921,,,,,20.9,1,1
Spain,1,1977,1981,1,0,0,1,58.5035845,7.68,,8.574299812316895,5.8,3.8,1,1
Spain,2,2008,2012,0,0,0,,38.78093,5.4,4.8,2,9.38,31.83017479326185,1,0
South Sudan,0,,,,,,,,,,,,,1,0
Sudan,0,,,,,,,,,,,,,1,0
Suriname,0,,,,,,,,,,,,,1,0
Swaziland,1,1995,1999,0,0,0,,45.6899665,,,,,2.5,1,0
Sweden,1,1991,1995,0,0,0,0,32.9045968,3.6,0.1999999999999995,2.962718963623047,13,36.2,1,1
Sweden,2,2008,2009,0,0,0,,25.469589,0.24,-0.01,0.2074150890111923,2,12.75463187224957,1,0
Switzerland,1,2008,2009,0,0,0,,0,1.1,-0.4,0.6851447820663452,0.5,1.569082065103869,1,0
Syrian Arab Republic,0,,,,,,,,,,,,,1,0
Tajikistan,0,,,,,,,,,,,,,1,0
Thailand,1,1983,1983,1,0,0,0,24.7895156,0.7000000000000001,,1.340225935,,15.7,1,1
Thailand,2,1997,2000,0,0,0,,109.3152874,43.8,34.8,30.64008522033691,33,42.1,1,0
Togo,1,1993,1994,0,0,0,,38.8148086,,,,,23.8,1,0
Trinidad and Tobago,0,,,,,,,,,,,,,1,0
Tunisia,1,1991,1991,0,0,0,0,1.268638,3,,4.975949287414551,,4.2,1,1
Turkey,1,1982,1984,1,0,1,1,34.9680042,2.5,,11.69317150115967,,12.3,1,1
Turkey,2,1991,1991,1,,,1,,,,,,,0,1
Turkey,3,2000,2001,1,0,0,1,37.61544,32,30.7,107.1667785644531,27.6,15.3,1,1
Turkmenistan,0,,,,,,,,,,,,,1,0
Uganda,1,1994,1994,0,0,0,,0,,,,,-26.9,1,0
Ukraine,1,1998,1999,1,1,0,,0,0,0,0,62.4,6.0363,1,0
Ukraine,2,2008,2010,0,0,0,,0,4.5,4.5,10.08064556121826,15.45,26.48945261727114,1,0
Ukraine,3,2014,2019,1,0,0,,93.228149,13.92,13.92,17.19792366027832,55.11000000000001,53.4,1,0
Macedonia,1,1993,1995,0,0,0,,0,32,,,70,,1,0
Russia,1,1995,1995,1,,,1,,,,,,,0,1
Russia,2,1998,1998,1,1,0,1,,6,6,0.3088008165359497,40,-7.08714,1,1
Russia,3,2008,2009,0,0,0,,0,2.3,2.3,6.357103348,9.62,6.063770515397084,1,0
Egypt,1,1980,1980,0,0,0,,0.8829518,,,,,-4.22944,1,0
Egypt,2,1981,1983,0,,,0,,,,,,,0,1
United Kingdom,1,2007,2011,0,0,0,,25.256538,8.799999999999999,3.779999999999999,5.825500011444092,4,27.02147244996189,1,0
Tanzania,1,1987,1988,0,0,0,,0,10,,53.87931060791016,70,64.59998999999999,1,0
United States,1,1988,1988,0,0,0,,0,3.7,,2.695614337921143,4.1,10.5,1,0
United States,2,2007,2011,0,0,0,,30.003834,4.5,0.6399999999999996,2.163773536682129,4.99,21.8514803,1,0
Burkina Faso,1,1990,1994,0,0,0,,,,,,16,8.92432,1,0
Uruguay,1,1981,1985,1,0,0,1,38.1129576,31.2,,101.2329635620117,,83.3,1,1
Uruguay,2,2002,2005,1,1,0,0,66.07547,20,10.83333333333333,35.65697860717773,36.3,37,1,1
Uzbekistan,0,,,,,,,,,,,,,1,0
Venezuela,1,1978,1983,1,,,1,,,,,,,0,1
Venezuela,2,1994,1998,1,0,0,,1.1618501,15,12.5,60.82725143432617,24,-22.9584,1,0
Venezuela,3,2009,2010,1,,,1,,,,,,,0,1
Yemen,1,1996,1996,0,0,0,,16.371336,,,,,-56.7,1,0
Zambia,1,1995,1998,1,0,0,1,31.1025224,1.4,,14.71453857421875,,36.2,1,1
